Frame, Frame Full, Scene
583, 0.01674, 0.000106
584, 0.016459, 9.8e-05
585, 0.016969, 0.000108
586, 0.016464, 0.000105
587, 0.017711, 0.0002
588, 0.015887, 0.000117
589, 0.016705, 0.000109
590, 0.016667, 0.0001
591, 0.016806, 0.000107
592, 0.0172, 9.8e-05
593, 0.016419, 0.000121
594, 0.016116, 0.000106
595, 0.016793, 0.0001
596, 0.016714, 0.00011
597, 0.016505, 0.000107
598, 0.01682, 9.9e-05
599, 0.016971, 0.000105
600, 0.01641, 0.000109
601, 0.016745, 0.0001
602, 0.016747, 0.000167
603, 0.016963, 9.7e-05
604, 0.016628, 0.0001
605, 0.016698, 0.000112
606, 0.016496, 9.8e-05
607, 0.0166, 0.00011
608, 0.01699, 0.000196
609, 0.016364, 9.8e-05
610, 0.016632, 0.000168
611, 0.016859, 0.000107
612, 0.016653, 9.6e-05
613, 0.016404, 0.000107
614, 0.016871, 9.8e-05
615, 0.016492, 9.8e-05
616, 0.016744, 0.000108
617, 0.016546, 9.7e-05
618, 0.016787, 0.000103
619, 0.016619, 0.000104
620, 0.016681, 9.9e-05
621, 0.016706, 0.000107
622, 0.016737, 0.000105
623, 0.017071, 0.000116
624, 0.016265, 0.000108
625, 0.016659, 0.000107
626, 0.016923, 9.8e-05
627, 0.016445, 0.000107
628, 0.017055, 9.9e-05
629, 0.016712, 0.000128
630, 0.017043, 0.000133
631, 0.016878, 0.0001
632, 0.016294, 0.000108
633, 0.016674, 0.000108
634, 0.016199, 9.5e-05
635, 0.017019, 0.000106
636, 0.017003, 9.9e-05
637, 0.016167, 9.7e-05
638, 0.016786, 0.000107
639, 0.016739, 0.000111
640, 0.016421, 0.000107
641, 0.017205, 0.000109
642, 0.016199, 9.9e-05
643, 0.016699, 0.000105
644, 0.017165, 0.000106
645, 0.016189, 0.000103
646, 0.016665, 0.000104
647, 0.016987, 9.7e-05
648, 0.016458, 9.9e-05
649, 0.016646, 0.000109
650, 0.017028, 0.000101
651, 0.016436, 0.000108
652, 0.016804, 0.000105
653, 0.017056, 0.000103
654, 0.016304, 0.00011
655, 0.016724, 0.000118
656, 0.016962, 9.8e-05
657, 0.01658, 0.00011
658, 0.016562, 9.8e-05
659, 0.017041, 9.8e-05
660, 0.016284, 0.000105
661, 0.016616, 0.0001
662, 0.016763, 0.000121
663, 0.016928, 0.000118
664, 0.016718, 9.7e-05
665, 0.01645, 0.000111
666, 0.016581, 0.000108
667, 0.016776, 9.7e-05
668, 0.0168, 0.000135
669, 0.016577, 0.000101
670, 0.017044, 0.000111
671, 0.016407, 0.000104
672, 0.017121, 0.0001
673, 0.016113, 0.00011
674, 0.01691, 0.000107
675, 0.016836, 0.000118
676, 0.01652, 0.000104
677, 0.016598, 0.000107
678, 0.016926, 0.000122
679, 0.016333, 0.000107
680, 0.016745, 9.9e-05
681, 0.016877, 0.0001
682, 0.01644, 0.000108
683, 0.01676, 9.7e-05
684, 0.016972, 0.000107
685, 0.016566, 0.000162
686, 0.017209, 0.000134
687, 0.015897, 0.000108
688, 0.016914, 0.000107
689, 0.016885, 0.000102
690, 0.016535, 0.00011
691, 0.016556, 9.7e-05
692, 0.017586, 0.000114
